Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,100.29,101.57,99.02,100.0,99.93,3505700
2020-01-02,101.78,102.08,99.32,101.07,101.18,1145693
2020-01-03,101.34,102.47,98.42,100.87,100.94,2649734
2020-01-04,102.29,102.72,101.75,102.26,102.5,13076798
2020-01-05,105.12,108.04,103.24,105.46,105.3,10299397
2020-01-06,105.42,108.42,103.4,105.05,105.18,1885621
2020-01-07,104.85,105.17,104.1,104.64,104.76,13881730
2020-01-08,108.51,111.63,105.97,108.03,107.93,1561548
2020-01-09,110.12,111.9,108.79,109.77,109.89,14542914
2020-01-10,109.4,110.46,107.18,108.83,108.87,9063001
2020-01-11,109.81,110.46,109.43,110.1,110.07,10093432
2020-01-12,109.89,111.59,107.6,109.17,109.08,11221108
2020-01-13,108.35,110.95,107.17,108.24,108.16,5379845
2020-01-14,109.98,112.34,106.14,108.85,109.07,8150265
2020-01-15,104.41,105.03,104.13,104.77,104.77,2703728
2020-01-16,102.12,102.44,99.91,101.24,101.32,5762315
2020-01-17,100.28,101.55,98.75,100.18,100.1,4377136
2020-01-18,97.91,99.17,95.76,98.23,98.16,1468451
2020-01-19,98.69,99.69,96.95,98.93,99.04,12776449
2020-01-20,97.06,98.1,95.08,97.21,97.08,12610634
2020-01-21,94.74,97.05,92.32,94.54,94.5,5777830
2020-01-22,97.65,100.37,94.86,97.39,97.39,1259425
2020-01-23,96.75,98.27,95.77,97.03,97.04,9899217
2020-01-24,97.23,99.89,95.61,97.24,97.22,8604323
2020-01-25,95.56,96.54,92.15,94.54,94.58,7259635
2020-01-26,94.4,95.8,90.81,93.59,93.66,5494893
2020-01-27,94.08,94.79,91.36,93.87,93.94,14292075
2020-01-28,91.8,93.6,90.71,91.79,91.7,11481941
2020-01-29,92.61,95.33,91.93,92.55,92.52,10019066
2020-01-30,91.79,93.49,90.12,91.51,91.62,2968093
2020-01-31,90.59,92.09,88.55,91.05,91.13,3444913
2020-02-01,89.91,91.81,88.54,90.03,89.91,7504938
2020-02-02,92.66,93.86,91.27,93.44,93.47,8131390
2020-02-03,93.67,96.18,91.12,93.49,93.3,4787132
2020-02-04,91.88,93.31,90.53,91.58,91.59,4809821
